,id,fecha_transaccion,nombre_producto,codigo_transaccion,tipo_deposito,producto,sub_producto,movilizado,trx_activo,nro_transaccion,usr_id
8461713,33925509,2020-11-10,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,100000.0,0.0,1.0,510986
19228863,54341,2021-06-30,RETIRO CUENTA VIA BALOTO,2702,SIMPLE,CASH OUT,BALOTO,160000.0,0.0,1.0,1332591
6207701,38295909,2022-04-18,AJUSTE CREDITO,3001,SIMPLE,AJUSTE,AJUSTE,149800.0,1.0,1.0,1062484
4607885,16421797,2021-01-27,SUBSIDIO ALCALDIA BOGOTA,7103,SIMPLE,WELLFARE,MAYOR OFFICE,120000.0,0.0,1.0,277180
26802059,13333541,2021-08-04,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,3000.0,0.0,1.0,2603594
18812627,9343029,2021-02-20,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,320000.0,0.0,1.0,65563
11673624,3544885,2021-03-05,RETIRO CASHOUT,2206,SIMPLE,CASH OUT,EXITO,320000.0,0.0,1.0,3102164
21835853,2966821,2022-03-14,RETIRO SERVIBANCA,2105,SIMPLE,CASH OUT,SERVIBANCA,140000.0,0.0,1.0,1545669
27135708,9098373,2022-04-09,ENVIAR DINERO CUENTAS MOVII,2106,SIMPLE,P2P,P2P,55000.0,0.0,1.0,2091428
29367679,25540085,2021-02-28,RECIBO TRANSFERENCIA ACH,1303,SIMPLE,CASH IN,TRANSFIYA,5000.0,0.0,1.0,1937570
3501861,4612805,2022-01-27,PAGO CON TARJETA,6802,SIMPLE,DEBIT CARD,TARJETA,55254.0,0.0,1.0,514233
25741968,627829,2020-07-16,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,40000.0,0.0,1.0,180999
9893889,17443205,2022-03-26,RECIBIR DINERO OTRO USUARIO MOVII,1101,SIMPLE,P2P,P2P,50000.0,0.0,1.0,2153869
25696445,27653653,2022-04-01,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,800.0,0.0,1.0,1539774
20556169,29546021,2021-08-04,SUBSIDIO ALCALDIA BOGOTA,7103,SIMPLE,WELLFARE,MAYOR OFFICE,165000.0,0.0,1.0,280553
19731519,30097221,2021-06-28,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,160000.0,0.0,1.0,1933186
32819455,29605589,2020-04-26,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,20000.0,0.0,1.0,739862
600819,37275541,2019-08-11,RECARGAR CELULAR,2202,SIMPLE,TOP UP,TOP UP,5000.0,0.0,1.0,810431
33155042,38332533,2020-04-14,RECARGAR CELULAR,2202,SIMPLE,TOP UP,TOP UP,2000.0,0.0,1.0,590072
15304009,2716037,2021-03-29,ENVIAR DINERO CUENTAS MOVII,2106,SIMPLE,P2P,P2P,60000.0,0.0,1.0,1680208
17170952,18297669,2021-08-15,DEPOSITO EN PSE,1301,SIMPLE,CASH IN,PSE,270000.0,0.0,1.0,3131883
1991783,5476293,2022-02-17,RETIRO CASHOUT,2206,SIMPLE,CASH OUT,EXITO,55000.0,0.0,1.0,3265530
29245868,15148901,2022-01-02,PAGO CON TARJETA,6802,SIMPLE,DEBIT CARD,TARJETA,3400.0,0.0,5.0,887920
1058804,38159045,2021-02-08,PAGO CON TARJETA,6802,SIMPLE,DEBIT CARD,TARJETA,3500.0,0.0,1.0,2089317
7849955,32728869,2022-04-16,PAGO CON TARJETA,6802,SIMPLE,DEBIT CARD,TARJETA,32593.17,0.0,2.0,3163954
7360625,7989861,2021-08-02,COMPRA PSE,2302,SIMPLE,PAGO EN COMERCIO,PSE,185389.0,0.0,1.0,744152
36012802,33304037,2021-02-20,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,320000.0,0.0,1.0,1175259
35205437,20308597,2021-01-27,SUBSIDIO ALCALDIA BOGOTA,7103,SIMPLE,WELLFARE,MAYOR OFFICE,120000.0,0.0,1.0,823978
31693561,17326181,2021-11-12,DEPOSITO CUENTA VIA BALOTO,1701,SIMPLE,CASH IN,BALOTO,23000.0,0.0,1.0,1625050
34197076,24229765,2021-05-31,RETIRO CASHOUT,2206,SIMPLE,CASH OUT,EXITO,240000.0,0.0,1.0,1990569
6942912,32849701,2022-03-10,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,380000.0,0.0,1.0,2026582
8308603,33716677,2022-02-17,RETIRO SERVIBANCA,2105,SIMPLE,CASH OUT,SERVIBANCA,90000.0,0.0,1.0,2501427
34083729,14573973,2021-06-02,SUBSIDIO ALCALDIA BOGOTA,7103,SIMPLE,WELLFARE,MAYOR OFFICE,465000.0,0.0,1.0,1206758
25918462,7263429,2022-02-28,RETIRO SUPERPAGOS,2107,SIMPLE,CASH OUT,SUPERPAGOS,28000.0,0.0,1.0,38483
37099744,1354293,2021-07-24,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,160000.0,0.0,1.0,1989436
11587363,20090293,2022-03-18,RETIRO SERVIBANCA,2105,SIMPLE,CASH OUT,SERVIBANCA,190000.0,0.0,1.0,3252497
4037175,25515157,2021-02-07,RETIRO SERVIBANCA,2105,SIMPLE,CASH OUT,SERVIBANCA,80000.0,0.0,1.0,2146732
8488904,2054725,2021-02-19,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,320000.0,0.0,1.0,1323470
21085154,10119925,2021-05-16,PAGO CON TARJETA,6802,SIMPLE,DEBIT CARD,TARJETA,200869.0,0.0,1.0,2595398
18192460,5679317,2019-11-29,DEPOSITO CUENTA VIA BALOTO,1701,SIMPLE,CASH IN,BALOTO,10000.0,0.0,1.0,887299
25733279,37131413,2020-06-05,DEPOSITO CUENTA VIA BALOTO,1701,SIMPLE,CASH IN,BALOTO,12000.0,0.0,1.0,2158350
27451211,11969701,2021-10-29,CARGUE SUBSIDIO,7101,SIMPLE,WELLFARE,GOVERNMENT,320000.0,0.0,1.0,2185144
